Tool,Institution,Year,Task,Entity_Type_Standardized,Entity_Type_Original,NER_Training_Corpus,Normalization_Tool,ID_Output,URL,Notes
BERN2,DMIS-Lab,2022,NER+NEN,DNA,DNA,JNLPBA,None,Span only,https://github.com/dmis-lab/BERN2,
BERN2,DMIS-Lab,2022,NER+NEN,RNA,RNA,JNLPBA,None,Span only,https://github.com/dmis-lab/BERN2,
HunFlair2,Humboldt-Universität,2024,NER+NEN,Gene/Protein,Gene / Protein,"NLM-Gene, GNormPlus, BioRED","BioSyn (pretrained, BC2GN)",NCBI Gene ID (human only),https://github.com/flairNLP/flair,Best cross-corpus generalization
HunFlair2,Humboldt-Universität,2024,NER+NEN,Disease,Disease,"NCBI Disease, SCAI Disease, BioRED","BioSyn (pretrained, BC5CDR disease)",CTD Diseases (MEDIC),https://github.com/flairNLP/flair,
HunFlair2,Humboldt-Universität,2024,NER+NEN,Chemical/Drug,Chemical,"NLM-Chem, SCAI Chemical, BioRED","BioSyn (pretrained, BC5CDR chemical)",CTD Chemicals,https://github.com/flairNLP/flair,
HunFlair2,Humboldt-Universität,2024,NER+NEN,Species/Organism,Species / Organism,"Linnaeus, S800, BioRED",SapBERT (UMLS-pretrained),NCBI TaxID,https://github.com/flairNLP/flair,
HunFlair2,Humboldt-Universität,2024,NER+NEN,Cell line,Cell line,"BioID, BioRED",Cellosaurus dictionary,Cellosaurus CVCL,https://github.com/flairNLP/flair,
HunFlair2,Humboldt-Universität,2024,NER+NEN,Variant/Mutation,Variant,BioRED,dbSNP dictionary,dbSNP rs ID (partial),https://github.com/flairNLP/flair,
AIONER,NCBI/NLM,2023,NER only,Gene/Protein,Gene / Protein,"NLM-Gene, GNormPlus, BioRED (bridge)",None standalone,Span only,https://github.com/ncbi/AIONER,NER backbone of PubTator3
AIONER,NCBI/NLM,2023,NER only,Disease,Disease,"NCBI Disease, BC5CDR, BioRED (bridge)",None standalone,Span only,https://github.com/ncbi/AIONER,
AIONER,NCBI/NLM,2023,NER only,Chemical/Drug,Chemical / Drug,"NLM-Chem, BC5CDR, BioRED (bridge)",None standalone,Span only,https://github.com/ncbi/AIONER,
AIONER,NCBI/NLM,2023,NER only,Variant/Mutation,Variant / Mutation,"tmVar3 corpus, BioRED (bridge)",None standalone,Span only,https://github.com/ncbi/AIONER,
AIONER,NCBI/NLM,2023,NER only,Species/Organism,Species,"Species-800, BioRED (bridge)",None standalone,Span only,https://github.com/ncbi/AIONER,
AIONER,NCBI/NLM,2023,NER only,Cell line,Cell line,"BioID, BioRED (bridge)",None standalone,Span only,https://github.com/ncbi/AIONER,
SciSpacy,AllenAI,2019,NER+NEN,Gene/Protein,Gene / Protein,"CRAFT, JNLPBA, BioNLP13CG",UMLS / GO / MeSH linker,UMLS CUI / GO: term,https://aclanthology.org/W19-5034/,Modular NER+NEN approach
SciSpacy,AllenAI,2019,NER+NEN,Disease,Disease / Cancer,"BC5CDR, NCBI Disease",UMLS / MeSH linker,UMLS CUI / MeSH ID,https://aclanthology.org/W19-5034/,
SciSpacy,AllenAI,2019,NER+NEN,Chemical/Drug,Chemical,BC5CDR,UMLS / RxNorm linker,UMLS CUI / RxNorm RxCUI,https://aclanthology.org/W19-5034/,
SciSpacy,AllenAI,2019,NER+NEN,Anatomy,Anatomy (16 subtypes),"BioNLP13CG, CRAFT",UMLS / UBERON linker,UMLS CUI / UBERON ID,https://aclanthology.org/W19-5034/,
SciSpacy,AllenAI,2019,NER+NEN,Species/Organism,Organism,"CRAFT, BioNLP13CG",NCBI Taxonomy linker,NCBI TaxID,https://aclanthology.org/W19-5034/,
SciSpacy,AllenAI,2019,NER+NEN,Cell line,Cell / Cell line,JNLPBA,UMLS linker,UMLS CUI,https://aclanthology.org/W19-5034/,
SciSpacy,AllenAI,2019,NER+NEN,Phenotype,Phenotype,"BC5CDR, NCBI Disease",HPO linker,HP: term (HPO),https://aclanthology.org/W19-5034/,Only tool with direct HPO linking
SciSpacy,AllenAI,2019,NER+NEN,DNA/RNA,DNA / RNA,JNLPBA,None,Span only,https://aclanthology.org/W19-5034/,
BENT,LASIGE,2023,NER+NEN,Gene/Protein,Gene / Protein,BC2GM,NILINKER + SapBERT (NCBI Gene KB),NCBI Gene ID,https://github.com/lasigeBioTM/bent,NILINKER handles NIL entities
BENT,LASIGE,2023,NER+NEN,Gene/Protein,Gene / Protein,BC2GM,NILINKER + SapBERT (CTD-Genes KB),CTD Gene ID,https://github.com/lasigeBioTM/bent,
BENT,LASIGE,2023,NER+NEN,Disease,Disease,"BC5CDR, MEDIC dictionary",NILINKER + SapBERT (MEDIC KB),MeSH ID / OMIM,https://github.com/lasigeBioTM/bent,
BENT,LASIGE,2023,NER+NEN,Disease,Disease,BC5CDR,NILINKER + SapBERT (Disease Ontology KB),DOID,https://github.com/lasigeBioTM/bent,
BENT,LASIGE,2023,NER+NEN,Chemical/Drug,Chemical,BC5CDR,NILINKER + SapBERT (ChEBI KB),CHEBI ID,https://github.com/lasigeBioTM/bent,
BENT,LASIGE,2023,NER+NEN,Chemical/Drug,Chemical,BC5CDR,NILINKER + SapBERT (CTD-Chemicals KB),CTD Chem ID,https://github.com/lasigeBioTM/bent,
BENT,LASIGE,2023,NER+NEN,Species/Organism,Species,"Linnaeus, S800",NCBI Taxonomy dictionary,NCBI TaxID,https://github.com/lasigeBioTM/bent,
BENT,LASIGE,2023,NER+NEN,Cell line,Cell line,"BioID, BioRED",Cellosaurus dictionary,Cellosaurus CVCL,https://github.com/lasigeBioTM/bent,
BENT,LASIGE,2023,NER+NEN,Anatomy,Anatomy,CTD-Anatomy corpus,NILINKER (CTD-Anatomy KB),CTD Anatomy ID,https://github.com/lasigeBioTM/bent,
BENT,LASIGE,2023,NER+NEN,Biological process,Biological process,CRAFT,NILINKER (Gene Ontology BP),GO: term,https://github.com/lasigeBioTM/bent,
BENT,LASIGE,2023,NER+NEN,Molecular function,Molecular function,CRAFT,NILINKER (Gene Ontology MF),GO: term,https://github.com/lasigeBioTM/bent,
BENT,LASIGE,2023,NER+NEN,Cellular component,Cellular component,CRAFT,NILINKER (Gene Ontology CC),GO: term,https://github.com/lasigeBioTM/bent,
BioBERT,DMIS-Lab,2019,NER only,Gene/Protein,Gene / Protein,"BC2GM, BC5CDR, JNLPBA",None,Span only,https://github.com/dmis-lab/biobert,Foundation model for biomedical NLP
BioBERT,DMIS-Lab,2019,NER only,Disease,Disease,"BC5CDR, NCBI Disease",None,Span only,https://github.com/dmis-lab/biobert,
BioBERT,DMIS-Lab,2019,NER only,Chemical/Drug,Chemical,"BC4CHEMD, BC5CDR",None,Span only,https://github.com/dmis-lab/biobert,
BioBERT,DMIS-Lab,2019,NER only,Species/Organism,Species,Species-800,None,Span only,https://github.com/dmis-lab/biobert,
BioBERT,DMIS-Lab,2019,NER only,DNA,DNA,JNLPBA,None,Span only,https://github.com/dmis-lab/biobert,
BioBERT,DMIS-Lab,2019,NER only,RNA,RNA,JNLPBA,None,Span only,https://github.com/dmis-lab/biobert,
BioBERT,DMIS-Lab,2019,NER only,Cell line,Cell line,JNLPBA,None,Span only,https://github.com/dmis-lab/biobert,
BioBERT,DMIS-Lab,2019,NER only,Cell type,Cell type,JNLPBA,None,Span only,https://github.com/dmis-lab/biobert,
PubMedBERT,Microsoft,2020,NER only,Gene/Protein,Gene / Protein,"BC2GM, BC5CDR, JNLPBA",None,Span only,https://github.com/ncbi/BERT_variants,Only abstracts training
PubMedBERT,Microsoft,2020,NER only,Disease,Disease,"BC5CDR, NCBI Disease",None,Span only,https://github.com/ncbi/BERT_variants,
PubMedBERT,Microsoft,2020,NER only,Chemical/Drug,Chemical,"BC4CHEMD, BC5CDR",None,Span only,https://github.com/ncbi/BERT_variants,
PubMedBERT,Microsoft,2020,NER only,Species/Organism,Species,Species-800,None,Span only,https://github.com/ncbi/BERT_variants,
SciBERT,AllenAI,2019,NER only,Gene/Protein,Gene / Protein,"BC2GM, JNLPBA",None,Span only,https://github.com/allenai/scibert,Trained on scientific papers
SciBERT,AllenAI,2019,NER only,Disease,Disease,BC5CDR,None,Span only,https://github.com/allenai/scibert,
SciBERT,AllenAI,2019,NER only,Chemical/Drug,Chemical,"BC4CHEMD, BC5CDR",None,Span only,https://github.com/allenai/scibert,
BlueBERT,NCBI,2019,NER only,Gene/Protein,Gene / Protein,"BC2GM, JNLPBA",None,Span only,https://github.com/ncbi/BlueBERT,PubMed + MIMIC-III training
BlueBERT,NCBI,2019,NER only,Disease,Disease,BC5CDR + i2b2,None,Span only,https://github.com/ncbi/BlueBERT,
BlueBERT,NCBI,2019,NER only,Chemical/Drug,Chemical,BC4CHEMD + BC5CDR,None,Span only,https://github.com/ncbi/BlueBERT,
ClinicalBERT,MIT,2019,NER only,Disease,Disease,i2b2 2010 + MIMIC-III,None,Span only,https://github.com/kexinhuang12345/clinicalBERT,Clinical notes training
ClinicalBERT,MIT,2019,NER only,Procedure,Procedure,i2b2 2010,None,Span only,https://github.com/kexinhuang12345/clinicalBERT,
ClinicalBERT,MIT,2019,NER only,Lab test,Lab test,i2b2 2010,None,Span only,https://github.com/kexinhuang12345/clinicalBERT,
BioLinkBERT,DMIS-Lab,2022,NER only,Gene/Protein,Gene / Protein,"BC2GM, BioRED",None,Span only,https://github.com/michiyasunaga/LinkBERT,Document linking during pretraining
BioLinkBERT,DMIS-Lab,2022,NER only,Disease,Disease,"BC5CDR, BioRED",None,Span only,https://github.com/michiyasunaga/LinkBERT,
BioLinkBERT,DMIS-Lab,2022,NER only,Chemical/Drug,Chemical,"BC4CHEMD, BioRED",None,Span only,https://github.com/michiyasunaga/LinkBERT,
BioLinkBERT,DMIS-Lab,2022,NER only,Relations,Relations,BioRED,None,Span only,https://github.com/michiyasunaga/LinkBERT,
BioELECTRA,DMIS-Lab,2021,NER only,Gene/Protein,Gene / Protein,"BC2GM, JNLPBA",None,Span only,https://github.com/dmis-lab/biobert,ELECTRA architecture for biomedical
BioELECTRA,DMIS-Lab,2021,NER only,Disease,Disease,BC5CDR,None,Span only,https://github.com/dmis-lab/biobert,
BioELECTRA,DMIS-Lab,2021,NER only,Chemical/Drug,Chemical,"BC4CHEMD, BC5CDR",None,Span only,https://github.com/dmis-lab/biobert,
GNormPlus,NCBI,2015,NER+NEN,Gene/Protein,Gene / Protein,"BC2GM, BioCreative",GNorm algorithm,NCBI Gene ID,https://www.ncbi.nlm.nih.gov/research/bionlp/Tools/gnormplus/,Gene normalization focus
DNorm,NCBI,2013,NER+NEN,Disease,Disease,NCBI Disease corpus,TF-IDF vector similarity,OMIM / MeSH,https://www.ncbi.nlm.nih.gov/CBBresearch/Lu/Demo/DNorm/,Disease normalization pioneer
TaggerOne,NCBI,2016,NER+NEN,Disease,Disease,"NCBI Disease, BC5CDR",Semi-Markov model,OMIM / MeSH,https://www.ncbi.nlm.nih.gov/research/bionlp/Tools/taggerone/,Joint NER+NEN
TaggerOne,NCBI,2016,NER+NEN,Chemical/Drug,Chemical,BC5CDR,Semi-Markov model,MeSH CID,https://www.ncbi.nlm.nih.gov/research/bionlp/Tools/taggerone/,
tmVar,NCBI,2013,NER+NEN,Variant/Mutation,Variant,tmVar corpus,CRF + rule-based,dbSNP rs ID / HGVS,https://www.ncbi.nlm.nih.gov/research/bionlp/Tools/tmvar/,Mutation mention focus
tmVar2,NCBI,2017,NER+NEN,Variant/Mutation,Variant,tmVar 2.0 corpus,CRF + dictionary,dbSNP rs ID / HGVS,https://www.ncbi.nlm.nih.gov/research/bionlp/Tools/tmvar2/,
tmVar3,NCBI,2021,NER+NEN,Variant/Mutation,Variant,tmVar 3.0 corpus,Deep learning + rules,dbSNP rs ID / HGVS,https://www.ncbi.nlm.nih.gov/research/bionlp/Tools/tmvar3/,Latest NCBI variant tool
tmChem,NCBI,2015,NER+NEN,Chemical/Drug,Chemical,BC4CHEMD + tmChem corpus,CRF + dictionary,MeSH CID,https://www.ncbi.nlm.nih.gov/research/bionlp/Tools/tmchem/,Chemical mention recognition
ChemSpot,LCCB,2012,NER+NEN,Chemical/Drug,Chemical,Chemistry literature,Dictionary + CRF,ChEBI / PubChem,https://github.com/rockt/ChemSpot,Chemistry-focused
OSCAR,NextMove,2011,NER+NEN,Chemical/Drug,Chemical,Chemistry papers,Maximum entropy,InChI / SMILES,https://github.com/BlueObelisk/oscar4,Chemistry literature NER
ChemDataExtractor,Cambridge,2016,NER+NEN,Chemical/Drug,Chemical,Chemistry papers,CRF + rules,Custom chemical DB,https://github.com/mcs07/ChemDataExtractor,Chemistry paper mining
SPECIES,EMBL,2013,NER+NEN,Species/Organism,Species,Species corpus,Dictionary + ML,NCBI TaxID,https://species.jensenlab.org/,Species name recognition
OrganismTagger,JULIE Lab,2014,NER+NEN,Species/Organism,Species,Organism corpus,CRF + dictionary,NCBI TaxID,https://github.com/JULIELab/julielab-entity-evaluator,Organism name focus
EXTRACT,EBI,2016,NER+NEN,Species/Organism,Species,Biodiversity literature,Machine learning,GBIF / NCBI,https://github.com/EBIBioSamples/extract_species,Biodiversity focus
GLiNER,DMIS-Lab,2023,NER only,Gene/Protein,Generalist entities,GLiNER corpus,Zero-shot labels,Span only,https://github.com/urchade/GLiNER,Zero-shot entity recognition
GLiNER,DMIS-Lab,2023,NER only,Disease,Generalist entities,GLiNER corpus,Zero-shot labels,Span only,https://github.com/urchade/GLiNER,
GLiNER,DMIS-Lab,2023,NER only,Chemical/Drug,Generalist entities,GLiNER corpus,Zero-shot labels,Span only,https://github.com/urchade/GLiNER,
QuickUMLS,Fondazione Bruno Kessler,2016,NER+NEN,Disease,Medical entities,UMLS Metathesaurus,String similarity,UMLS CUI,https://github.com/Georgetown-IR-Lab/QuickUMLS,Fast UMLS concept recognition
QuickUMLS,Fondazione Bruno Kessler,2016,NER+NEN,Chemical/Drug,Medical entities,UMLS Metathesaurus,String similarity,UMLS CUI,https://github.com/Georgetown-IR-Lab/QuickUMLS,
QuickUMLS,Fondazione Bruno Kessler,2016,NER+NEN,Anatomy,Medical entities,UMLS Metathesaurus,String similarity,UMLS CUI,https://github.com/Georgetown-IR-Lab/QuickUMLS,
QuickUMLS,Fondazione Bruno Kessler,2016,NER+NEN,Procedure,Medical entities,UMLS Metathesaurus,String similarity,UMLS CUI,https://github.com/Georgetown-IR-Lab/QuickUMLS,
LinkBERT,DMIS-Lab,2022,NER+RE,Relations,Relations,Multiple biomedical corpora,Document linking,Relation triplets,https://github.com/michiyasunaga/LinkBERT,Document-level relation extraction
ChemProt,BioCreative,2017,NER+RE,Relations,Chemical-Protein interactions,ChemProt corpus,Deep learning,ChemProt relations,https://biocreative.bioinformatics.udel.edu/tasks/biocreative-vi/,Chemical-protein relation extraction
BioRE,Multiple,2020,NER+RE,Relations,Biomedical relations,Multiple RE corpora,Transformer-based,Relation triplets,Multiple repositories,General biomedical RE
Stanza-anatem,Stanford,2020,NER only,Anatomy,Anatomy,AnatEM,None,Span only,https://stanfordnlp.github.io/stanza/,BiLSTM-CRF + character-level LM
Stanza-bc2gm,Stanford,2020,NER only,Gene/Protein,Gene / Protein,BC2GM,None,Span only,https://stanfordnlp.github.io/stanza/,
Stanza-bc4chemd,Stanford,2020,NER only,Chemical/Drug,Chemical / Drug,BC4CHEMD,None,Span only,https://stanfordnlp.github.io/stanza/,
Stanza-bc5cdr,Stanford,2020,NER only,Chemical/Drug,Chemical,BC5CDR,None,Span only,https://stanfordnlp.github.io/stanza/,
Stanza-bc5cdr,Stanford,2020,NER only,Disease,Disease,BC5CDR,None,Span only,https://stanfordnlp.github.io/stanza/,
Stanza-bionlp13cg,Stanford,2020,NER only,Gene/Protein,Gene / Gene product,BioNLP13CG,None,Span only,https://stanfordnlp.github.io/stanza/,
Stanza-bionlp13cg,Stanford,2020,NER only,Amino acid,Amino acid,BioNLP13CG,None,Span only,https://stanfordnlp.github.io/stanza/,
Stanza-bionlp13cg,Stanford,2020,NER only,Disease,Cancer,BioNLP13CG,None,Span only,https://stanfordnlp.github.io/stanza/,
Stanza-bionlp13cg,Stanford,2020,NER only,Disease,Pathological formation,BioNLP13CG,None,Span only,https://stanfordnlp.github.io/stanza/,
Stanza-bionlp13cg,Stanford,2020,NER only,Cell type,Cell,BioNLP13CG,None,Span only,https://stanfordnlp.github.io/stanza/,
Stanza-bionlp13cg,Stanford,2020,NER only,Cellular component,Cellular component,BioNLP13CG,None,Span only,https://stanfordnlp.github.io/stanza/,
Stanza-bionlp13cg,Stanford,2020,NER only,Anatomy,Organ,BioNLP13CG,None,Span only,https://stanfordnlp.github.io/stanza/,
Stanza-bionlp13cg,Stanford,2020,NER only,Anatomy,Tissue,BioNLP13CG,None,Span only,https://stanfordnlp.github.io/stanza/,
Stanza-bionlp13cg,Stanford,2020,NER only,Anatomy,Organism substance,BioNLP13CG,None,Span only,https://stanfordnlp.github.io/stanza/,
Stanza-bionlp13cg,Stanford,2020,NER only,Anatomy,Anatomical system,BioNLP13CG,None,Span only,https://stanfordnlp.github.io/stanza/,
Stanza-bionlp13cg,Stanford,2020,NER only,Anatomy,Organism subdivision,BioNLP13CG,None,Span only,https://stanfordnlp.github.io/stanza/,
Stanza-bionlp13cg,Stanford,2020,NER only,Anatomy,Multi-tissue structure,BioNLP13CG,None,Span only,https://stanfordnlp.github.io/stanza/,
Stanza-bionlp13cg,Stanford,2020,NER only,Anatomy,Developing anatomical structure,BioNLP13CG,None,Span only,https://stanfordnlp.github.io/stanza/,
Stanza-bionlp13cg,Stanford,2020,NER only,Anatomy,Immaterial anatomical entity,BioNLP13CG,None,Span only,https://stanfordnlp.github.io/stanza/,
Stanza-bionlp13cg,Stanford,2020,NER only,Species/Organism,Organism,BioNLP13CG,None,Span only,https://stanfordnlp.github.io/stanza/,
Stanza-bionlp13cg,Stanford,2020,NER only,Chemical/Drug,Simple chemical,BioNLP13CG,None,Span only,https://stanfordnlp.github.io/stanza/,
Stanza-jnlpba,Stanford,2020,NER only,Gene/Protein,Protein,JNLPBA (GENIA),None,Span only,https://stanfordnlp.github.io/stanza/,
Stanza-jnlpba,Stanford,2020,NER only,DNA,DNA,JNLPBA (GENIA),None,Span only,https://stanfordnlp.github.io/stanza/,
Stanza-jnlpba,Stanford,2020,NER only,RNA,RNA,JNLPBA (GENIA),None,Span only,https://stanfordnlp.github.io/stanza/,
Stanza-jnlpba,Stanford,2020,NER only,Cell type,Cell type,JNLPBA (GENIA),None,Span only,https://stanfordnlp.github.io/stanza/,
Stanza-jnlpba,Stanford,2020,NER only,Cell line,Cell line,JNLPBA (GENIA),None,Span only,https://stanfordnlp.github.io/stanza/,
Stanza-linnaeus,Stanford,2020,NER+NEN,Species/Organism,Species / Organism,Linnaeus (100 full-text articles),NCBI Taxonomy dictionary,NCBI TaxID,https://stanfordnlp.github.io/stanza/,
Stanza-ncbi_disease,Stanford,2020,NER+NEN,Disease,Disease,NCBI Disease (793 abstracts),Dictionary + rule-based,MeSH ID / OMIM ID,https://stanfordnlp.github.io/stanza/,
Stanza-s800,Stanford,2020,NER+NEN,Species/Organism,Species / Organism,Species-800 (800 abstracts),NCBI Taxonomy dictionary,NCBI TaxID,https://stanfordnlp.github.io/stanza/,
Stanza-i2b2,Stanford,2020,NER only,Disease,Problem / Disease,2010 i2b2/VA,None,Span only,https://stanfordnlp.github.io/stanza/,Clinical model
Stanza-i2b2,Stanford,2020,NER only,Lab test,Test / Lab,2010 i2b2/VA,None,Span only,https://stanfordnlp.github.io/stanza/,
Stanza-i2b2,Stanford,2020,NER only,Procedure,Treatment / Procedure,2010 i2b2/VA,None,Span only,https://stanfordnlp.github.io/stanza/,
Stanza-radiology,Stanford,2020,NER only,Anatomy,Anatomy,Stanford radiology reports,None,Span only,https://stanfordnlp.github.io/stanza/,
Stanza-radiology,Stanford,2020,NER only,Lab test,Observation / Finding,Stanford radiology reports,None,Span only,https://stanfordnlp.github.io/stanza/,
Stanza-radiology,Stanford,2020,NER only,Anatomy,Anatomy modifier,Stanford radiology reports,None,Span only,https://stanfordnlp.github.io/stanza/,
Stanza-radiology,Stanford,2020,NER only,Observation modifier,Observation modifier,Stanford radiology reports,None,Span only,https://stanfordnlp.github.io/stanza/,
Stanza-radiology,Stanford,2020,NER only,Uncertainty,Uncertainty,Stanford radiology reports,None,Span only,https://stanfordnlp.github.io/stanza/,Unique: Uncertainty as entity type
cTAKES,Apache/Mayo,2010+,NER+NEN,Chemical/Drug,Drug / Medication,Mayo clinical corpus + i2b2 2009,RxNorm index (Lucene),UMLS CUI + RxNorm RxCUI,https://github.com/apache/ctakes,80M+ notes processed at Mayo
cTAKES,Apache/Mayo,2010+,NER+NEN,Disease,Disease / Disorder,Mayo clinical corpus + i2b2 2009,UMLS dictionary (SNOMED-CT subset),UMLS CUI,https://github.com/apache/ctakes,
cTAKES,Apache/Mayo,2010+,NER+NEN,Sign/Symptom,Sign / Symptom,Mayo clinical corpus + i2b2 2009,UMLS dictionary (SNOMED-CT subset),UMLS CUI,https://github.com/apache/ctakes,NegEx negation + THYME temporality
cTAKES,Apache/Mayo,2010+,NER+NEN,Anatomy,Anatomy / Body site,Mayo clinical corpus,UMLS dictionary (SNOMED-CT subset),UMLS CUI,https://github.com/apache/ctakes,
cTAKES,Apache/Mayo,2010+,NER+NEN,Procedure,Procedure,Mayo clinical corpus,UMLS dictionary (SNOMED-CT + CPT),UMLS CUI,https://github.com/apache/ctakes,
MetaMap,NLM,1994-2024,NER+NEN,Disease,Disease / Disorder (dsyn),Symbolic NLP + UMLS dictionary,UMLS Metathesaurus lookup,UMLS CUI only,https://github.com/LHNCBC/MetaMap-src,RETIRED December 31 2024
MetaMap,NLM,1994-2024,NER+NEN,Sign/Symptom,Sign / Symptom (sosy T184),Symbolic NLP + UMLS dictionary,UMLS Metathesaurus lookup,UMLS CUI only,https://github.com/LHNCBC/MetaMap-src,
MetaMap,NLM,1994-2024,NER+NEN,Chemical/Drug,Drug / Chemical (phsu clnd),Symbolic NLP + UMLS dictionary,UMLS Metathesaurus lookup,UMLS CUI only,https://github.com/LHNCBC/MetaMap-src,
MetaMap,NLM,1994-2024,NER+NEN,Adverse effect,Adverse drug effect (inpo),Symbolic NLP + UMLS dictionary,UMLS Metathesaurus lookup,UMLS CUI only,https://github.com/LHNCBC/MetaMap-src,
MetaMap,NLM,1994-2024,NER+NEN,Anatomy,Anatomy (bpoc tisu cell),Symbolic NLP + UMLS dictionary,UMLS Metathesaurus lookup,UMLS CUI only,https://github.com/LHNCBC/MetaMap-src,
MetaMap,NLM,1994-2024,NER+NEN,Procedure,Procedure (topp diap lbpr),Symbolic NLP + UMLS dictionary,UMLS Metathesaurus lookup,UMLS CUI only,https://github.com/LHNCBC/MetaMap-src,
MetaMap,NLM,1994-2024,NER+NEN,Lab test,Lab test / Finding (lbpr),Symbolic NLP + UMLS dictionary,UMLS Metathesaurus lookup,UMLS CUI only,https://github.com/LHNCBC/MetaMap-src,
MetaMap,NLM,1994-2024,NER+NEN,Gene/Protein,Gene / Genome (gngm),Symbolic NLP + UMLS dictionary,UMLS Metathesaurus lookup,UMLS CUI only,https://github.com/LHNCBC/MetaMap-src,
MetaMap,NLM,1994-2024,NER+NEN,Species/Organism,Species / Organism (orgm),Symbolic NLP + UMLS dictionary,UMLS Metathesaurus lookup,UMLS CUI only,https://github.com/LHNCBC/MetaMap-src,
MedCAT,CogStack/KCL,2019+,NER+NEN,Disease,Disease / Disorder,Self-supervised on MIMIC-III,SNOMED-CT (Clinical finding hierarchy),SNOMED-CT SCTID,https://github.com/CogStack/cogstack-nlp,v2.0 released August 2025 with RelCAT
MedCAT,CogStack/KCL,2019+,NER+NEN,Sign/Symptom,Sign / Symptom,Self-supervised on MIMIC-III,SNOMED-CT (Clinical finding hierarchy),SNOMED-CT SCTID,https://github.com/CogStack/cogstack-nlp,
MedCAT,CogStack/KCL,2019+,NER+NEN,Chemical/Drug,Drug / Medication,Self-supervised on MIMIC-III,SNOMED-CT (Substance/Product hierarchy),SNOMED-CT SCTID / RxNorm,https://github.com/CogStack/cogstack-nlp,
MedCAT,CogStack/KCL,2019+,NER+NEN,Procedure,Procedure,Self-supervised on MIMIC-III,SNOMED-CT (Procedure hierarchy),SNOMED-CT SCTID,https://github.com/CogStack/cogstack-nlp,
MedCAT,CogStack/KCL,2019+,NER+NEN,Anatomy,Anatomy / Body structure,Self-supervised on MIMIC-III,SNOMED-CT (Body structure hierarchy),SNOMED-CT SCTID,https://github.com/CogStack/cogstack-nlp,
MedCAT,CogStack/KCL,2019+,NER+NEN,Lab test,Lab test / Finding,Self-supervised on MIMIC-III,SNOMED-CT (Observable entity hierarchy),SNOMED-CT SCTID / LOINC,https://github.com/CogStack/cogstack-nlp,
